year,volume,url,title,pages,keywords,journal,issn,author,abstract,ENTRYTYPE,ID,number,school,publisher,isbn,booktitle,da,oa,unique-id,doc-delivery-number,journal-iso,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,funding-text,funding-acknowledgement,orcid-numbers,researcherid-numbers,author-email,web-of-science-categories,research-areas,keywords-plus,article-number,doi,affiliation,language,type,address,month,eissn,note,series,esi-hot-paper,esi-highly-cited-paper,organization
2017,69,"cacox@vcu.edu, arze.karam@durham.ac.uk, r.j.murphy@durham.ac.uk",Social preferences and cooperation in simple social dilemma games,1 - 3,"Cooperation, Social preference, Laboratory experiment, Prisoner’s dilemma, Stag hunt, Cooperation, Prisoners Dilemma Game, Social Dilemma, Social Responsibility",Journal of Behavioral and Experimental Economics,"2214-8043, 2214-8051","Cox, Caleb A. and  Karam, Arzé and  Murphy, Ryan J.","We use a laboratory experiment to examine the role of social preferences in simple one-shot social dilemma games by comparing play with and without a human counterpart. We find that cooperation rates are slightly lower without a human counterpart in all games we consider. However, the difference is small and statistically insignificant, suggesting that social preferences are not the primary driver of cooperation in one-shot social dilemma games. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",article,2017-34535-00220170801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,38,"junhui.wu@bnu.edu.cn, ORCID: 0000-0002-8890-1115",Life history strategy and human cooperation in economic games,496 - 505,"Life history strategy, Cooperation, Evolution, Harshness, Unpredictability, Cooperation, Economics, Games, Life Experiences, Strategies",Evolution and Human Behavior,"1090-5138, 1879-0607","Wu, Junhui and  Balliet, Daniel and  Tybur, Joshua M. and  Arai, Sakura and  Van Lange, Paul A. M. and  Yamagishi, Toshio","Across five studies using samples from both Japan and United States (N = 2345), we take a multi-method approach to test the prediction from life history theory that a slow, compared to fast, life history strategy promotes investment in cooperative relationships. Studies 1 and 2 examined how different measures as proxies for life history strategy (i.e., Mini-K and High-K Strategy Scale) relate to cooperation in various economic games. Studies 3 to 5 measured early childhood environments (i.e., childhood harshness and unpredictability), manipulated resource scarcity using previously validated methods, and then measured cooperation. Across our studies, we also examined four hypothesized psychological mechanisms that could explain the relation between life history strategy and cooperation: temporal discounting, concern for reputation, social value orientation, and trust in others. Overall, we found no support for the hypothesis that life history strategy predicts cooperation or that early childhood environments interact with current resource scarcity to predict cooperation. Thus, our initial findings imply that life history theory may not account for individual variation in cooperation with unknown others. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",article,2017-14864-00120170701,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,68,"Jinyuchang@gmail.com, 48162003@qq.com","When newbies and veterans play together: The effect of video game content, context and experience on cooperation",556 - 563,"Video game content, Collaborative game play, Newbies and veterans, Cooperation, The General Learning Model, Computer Games, Cooperation, Prosocial Behavior, Recreation",Computers in Human Behavior,"0747-5632, 1873-7692","Jin, Yuchang and  Li, Junyi","This paper explores the effect of video game content, context and experience on cooperative behavior over three research studies. Study 1 is a cross-sectional correlation study exploring the relationship between the video game team-play frequency and pro-social behavior, Study 2 is a 2 (game content: violent video game and neutral video game) × 2 (game context: single-play and team-play) design with the dependent variable being cooperative behavior and Study 3 is a single factor design experiment which examines the effect of the gaming experience on cooperative behavior under a collaborative context. The main findings were that the team-play frequency had a positive correlation with pro-social behavior, and pro-social video game exposure significantly predicted pro-social behavior. Collaborative play was found to significantly increase cooperation in both violent and neutral video games. However, the level of gaming experience tended to moderate the relationship between collaborative play and the level of cooperation. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2017-01245-05820170301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,jan.duchoslav@wur.nl,Prenatal temperature shocks reduce cooperation: Evidence from public goods games in Uganda,,"climate change, temperature shocks, public goods game, cooperation, fetal origins, Africa, Cooperation, Prenatal Exposure, Temperature Effects, Climate Change, Childhood Development",Frontiers in Behavioral Neuroscience,1662-5153,"Duchoslav, Jan","Climate change has not only led to a sustained rise in mean global temperature over the past decades, but also increased the frequency of extreme weather events. This paper explores the effect of temperature shocks in utero on later-life taste for cooperation. Using historical climate data combined with data on child and adult behavior in public goods games, I show that abnormally high ambient temperatures during gestation are associated with decreased individual contributions to the public good in a statistically and economically significant way. A 1 standard deviation rise in mean ambient temperature during gestation is associated with a 10% point decrease in children's cooperation rate in a dichotomous public goods game, and the reduced taste for cooperation lasts into adulthood. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",article,2017-58461-00120171221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,23,wintonau@cuhk.edu.hk,Expectation and cooperation in prisoner’s dilemmas: The moderating role of game riskiness,353 - 360,"Prisoner’s dilemma, Risk aversion, Risk orientation, Expectation of cooperation, Game riskiness, Adolescent, Adult, Cooperative Behavior, Humans, Prisoner Dilemma, Risk-Taking, Young Adult, Cooperation, Prisoners Dilemma Game, Risk Factors, Decision Making",Psychonomic Bulletin & Review,"1069-9384, 1531-5320","Ng, Gary Ting Tat and  Au, Wing Tung","This paper investigated the effect of risk orientation, game riskiness, and expectation of cooperation on cooperation in one-shot prisoner’s dilemmas (PD). Participants in pairs played PD games that varied on game riskiness such that for half of the games cooperation was more risky than defection (more risky games) while for another half cooperation was less risky (less risky games). They estimated how likely it was that the other player was going to cooperate (expectation of cooperation) before they made their cooperation/defection decision on each game. Supporting the Goal/Expectation Hypothesis, we replicated the effect that expectation of cooperation enhanced cooperation. We also found that risk-seeking individuals cooperated more in more risky games whereas risk-averse individuals cooperated more in less risky games. More importantly, we found that game riskiness moderated the effect of expectation of cooperation on cooperation. The positive effect of expectation of cooperation on cooperation was stronger for more risky games than for less risky games. Our results illustrated how the relation between expectation and cooperation as stipulated by the Goal/Expectation Hypothesis was moderated by riskiness of the situations. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",article,2015-35931-00120160401,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,"rkw@rice.edu, ORCID: 0000-0003-1583-5214, ORCID: 0000-0002-0603-2156, ORCID: 0000-0003-4278-7721",Group-level selection increases cooperation in the public goods game,,"group dynamics, cooperation, public goods game, Competitive Behavior, Cooperative Behavior, Game Theory, Group Processes, Humans, Games, Group Dynamics, Public Sector, Cooperation",PLoS ONE,1932-6203,"Eckel, Catherine C. and  Fatas, Enrique and  Godoy, Sara and  Wilson, Rick K.","When groups compete for resources, some groups will be more successful than others, forcing out less successful groups. Group-level selection is the most extreme form of group competition, where the weaker group ceases to exist, becoming extinct. We implement group-level selection in a controlled laboratory experiment in order to study its impact on human cooperation. The experiment uses variations on the standard linear public goods game. Group-level selection operates through competition for survival: the least successful, lowest-earning groups become extinct, in the sense that they no longer are able to play the game. Additional control treatments include group comparison without extinction, and extinction of the least successful individuals across groups.We find that group-level extinction produces very high contributions to the provision of the public good, while group comparison alone or individual extinction fail to cause higher contributions. Our results provide stark evidence that group-level selection enhances within-group cooperation. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",article,2016-43078-00120160830,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,61,"daniela.grieco@unibocconi.it, marco.faillo@unitn.it, luca.zarri@univr.it, ORCID: 0000-0003-1196-8685",Enforcing cooperation in public goods games: Is one punisher enough?,55 - 73,"Public goods games, Cooperation, Top contributors, Peer punishment, Behavioral mechanism design, Cooperation, Punishment, Social Dilemma, Peers",Journal of Economic Psychology,"0167-4870, 1872-7719","Grieco, Daniela and  Faillo, Marco and  Zarri, Luca","We experimentally investigate a finitely repeated public goods game setting where, in each round, access to sanctioning power is exclusively awarded to one single player per group. We show that our central ‘Top Contributors as Punishers’ institution—a mechanism by which a player needs to be the highest contributor in her group in order to earn the right to sanction others—is extremely effective in raising cooperation and welfare due to turnover in the top contributor role and to top contributors’ willingness to substantially sanction others. Our findings yield implications for the design of mechanisms intended to foster cooperation in social dilemma environments. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",article,2017-31573-00520170801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,26,"yensheng.c@gmail.com, ORCID: 0000-0002-5193-9718",Direct election of group decision-makers can facilitate cooperation in the public goods game,197 - 213,"Cooperation, Direct election, Group decision, Leadership, Public goods game, Cooperation, Group Decision Making, Leadership",Group Decision and Negotiation,"0926-2644, 1572-9907","Chiang, Yen-Sheng and  Hsu, Yung-Fong","Research on social dilemma has shown that the delegation of decision-making to group leaders can increase cooperation in the collective action problem. In this paper, we show that the voting scheme used for the election of leaders could make a difference to the emergence of cooperation. We design a public goods game experiment in which actors elect leaders to make decisions on their behalf in the contribution to public goods. In particular, we compare the leadership elected from direct and indirect election systems. In direct election, a leader is elected directly by majority-votes from a group, whereas in indirect election the group is divided into smaller subgroups and a leader is elected from the elected subgroup leaders. We run a simulation model to show that direct election would choose a more cooperative leader than indirect election when voters’ preferences of leadership are not homogenous. A laboratory experiment with human subjects further indicates that people hold stronger preferences for cooperators as leaders in direct election than in indirect election, suggesting that the voting scheme has an effect not only on the processing of actors’ preferences, but also on the shaping of their preferences of leadership in the public goods dilemma. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",article,2016-23489-00120170101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,246,maschavantwout@gmail.com,The influence of cooperation and defection on social decision making in depression: A study of the iterated Prisoner's Dilemma Game,512 - 519,"Interpersonal, Bias, Learning, Emotion, Negative affect, Anxiety, Cooperation, Decision Making, Major Depression, Symptoms, Social Interaction",Psychiatry Research,0165-1781,"Sorgi, Kristen M. and  van 't Wout, Mascha","This study evaluated the influence of self-reported levels of depression on interpersonal strategic decision making when interacting with partners who differed in their predetermined tendency to cooperate in three separate computerized iterated Prisoner's Dilemma Games (iPDGs). Across 29 participants, cooperation was lowest when interacting with a predominantly defecting partner and highest when interacting with a predominantly cooperating partner. Greater depression severity was related to steadier and continued cooperation over trials with the cooperating partner, seeming to reflect a prosocial response tendency when interacting with this partner. With the unbiased partner, depression severity was associated with a more volatile response pattern in reaction to cooperation and defection by this partner. Severity of depression did not influence cooperation with a defecting partner or expectations about partner cooperation reported before the task began. Taken together, these data appear to show that in predominately positive interactions, as in the cooperating partner condition, depression is associated with less volatile, more consistent cooperation. When such clear feedback is absent, as in the unbiased partner condition, depression is associated with more volatile behavior. Nonetheless, participants were generally able to adapt their behavior accordingly in this dynamic interpersonal decision making context. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",article,2016-60609-08220161230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,53,Raoul.Bell@hhu.de,Event‐related potentials in response to cheating and cooperation in a social dilemma game,216 - 228,"Face learning, Face recollection, P300, Feedback negativity, Social neuroscience, Evoked Potentials, Prisoners Dilemma Game, Social Dilemma, P300, Cheating, Prisoners",Psychophysiology,"0048-5772, 1469-8986","Bell, Raoul and  Sasse, Julia and  Möller, Malte and  Czernochowski, Daniela and  Mayr, Susanne and  Buchner, Axel","A sequential prisoner's dilemma game was combined with psychophysiological measures to examine the cognitive underpinnings of reciprocal exchange. Participants played four rounds of the game with partners who either cooperated or cheated. In a control condition, the partners’ faces were shown, but no interaction took place. The partners’ behaviors were consistent in the first three rounds of the game, but in the last round some of the partners unexpectedly changed strategies. In the first round of the game, the feedback about a partner's decision elicited a feedback P300, which was more pronounced for cooperation and cheating in comparison to the control condition, but did not vary as a function of feedback valence. In the last round, both the feedback negativity and the feedback P300 were sensitive to expectancy violations. There was no consistent evidence for a negativity bias, that is, enhanced allocation of attention to feedback about another person's cheating in comparison to feedback about another person's cooperation. Instead, participants focused on both positive and negative information, and flexibly adjusted their processing biases to the diagnosticity of the information. This conclusion was corroborated by the ERP correlates of memory retrieval. Successful retrieval of a partner's reputation was associated with an anterior positivity between 400 and 600 ms after face onset. This anterior positivity was more pronounced for both cooperator and cheater faces in comparison to control faces. The results suggest that it is not the negativity of social information, but rather its motivational and behavioral relevance that determines its processing. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",article,2016-02570-00820160201,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
